draft_year,team,analyst,grade_letter,grade_numeric,source_url
2020,LV,Rill,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LV,Dunleavy,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,SEA,Reuter,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,SEA,Winks,F,0.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,HOU,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,HOU,Slater,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,HOU,Davis,F,0.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,GB,Benoit,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2021,CLE,Kiper,B,8.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,LAC,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,BAL,Dunleavy,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,BAL,Davis,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,BAL,Edholm,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,MIA,Dunleavy,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,NE,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,DET,Tagliere,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,MIN,Edholm,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,ATL,Reuter,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,ATL,Tagliere,C,5.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,JAX,Davis,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,PHI,Davis,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,PHI,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,PHI,Prisco,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,TEN,PFF,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,TEN,Tagliere,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,BUF,Iyer,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,BUF,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,CIN,Maske,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,TB,Iyer,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,TB,Reuter,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,ARI,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,ARI,Easterling,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
2021,GB,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2021/2021-nfl-draft-report-card-report
